"OID","Country or Area","Year","Description","Magnitude","Value"
"44364..XZF...","KUWAIT","1997","CPI % CHANGE","PERCENT PER ANNU","0.682191"
"44364...ZF...","KUWAIT","1996","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","86.3544"
"44364..XZF...","KUWAIT","1996","CPI % CHANGE","PERCENT PER ANNU","3.55399"
"44364...ZF...","KUWAIT","1995","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","83.3907"
"44364..XZF...","KUWAIT","1995","CPI % CHANGE","PERCENT PER ANNU","2.68673"
"44364...ZF...","KUWAIT","1994","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","81.2089"
"44364..XZF...","KUWAIT","1994","CPI % CHANGE","PERCENT PER ANNU","2.53444"
"44364...ZF...","KUWAIT","1993","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","79.2016"
"44364..XZF...","KUWAIT","1993","CPI % CHANGE","PERCENT PER ANNU","0.382541"
"44364...ZF...","KUWAIT","1992","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","78.8997"
"44364..XZF...","KUWAIT","1992","CPI % CHANGE","PERCENT PER ANNU","-0.545471"
"44364...ZF...","KUWAIT","1991","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","79.3325"
"44364..XZF...","KUWAIT","1991","CPI % CHANGE","PERCENT PER ANNU","9.05819"
"44364...ZF...","KUWAIT","1990","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","72.7432"
"44364..XZF...","KUWAIT","1990","CPI % CHANGE","PERCENT PER ANNU","9.83364"
"44364...ZF...","KUWAIT","1989","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","66.2304"
"44364..XZF...","KUWAIT","1989","CPI % CHANGE","PERCENT PER ANNU","3.34203"
"44364...ZF...","KUWAIT","1988","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","64.0885"
"44364..XZF...","KUWAIT","1988","CPI % CHANGE","PERCENT PER ANNU","1.46813"
"44364...ZF...","KUWAIT","1987","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","63.1612"
"44364..XZF...","KUWAIT","1987","CPI % CHANGE","PERCENT PER ANNU","0.654845"
"44364...ZF...","KUWAIT","1986","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","62.7503"
"44364..XZF...","KUWAIT","1986","CPI % CHANGE","PERCENT PER ANNU","0.953607"
"44364...ZF...","KUWAIT","1985","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","62.1576"
"44364..XZF...","KUWAIT","1985","CPI % CHANGE","PERCENT PER ANNU","1.49032"
"44364...ZF...","KUWAIT","1984","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","61.2448"
"44364..XZF...","KUWAIT","1984","CPI % CHANGE","PERCENT PER ANNU","1.17746"
"44364...ZF...","KUWAIT","1983","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","60.5321"
"44364..XZF...","KUWAIT","1983","CPI % CHANGE","PERCENT PER ANNU","4.71817"
"44364...ZF...","KUWAIT","1982","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","57.8048"
"44364..XZF...","KUWAIT","1982","CPI % CHANGE","PERCENT PER ANNU","7.7768"
"44364...ZF...","KUWAIT","1981","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","53.6338"
"44364..XZF...","KUWAIT","1981","CPI % CHANGE","PERCENT PER ANNU","7.37478"
"44364...ZF...","KUWAIT","1980","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","49.9501"
"44364..XZF...","KUWAIT","1980","CPI % CHANGE","PERCENT PER ANNU","6.92823"
"44364...ZF...","KUWAIT","1979","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","46.7136"
"44364..XZF...","KUWAIT","1979","CPI % CHANGE","PERCENT PER ANNU","7.05"
"44364...ZF...","KUWAIT","1978","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","43.6372"
"44364..XZF...","KUWAIT","1978","CPI % CHANGE","PERCENT PER ANNU","-21.675"
"44364...ZF...","KUWAIT","1977","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","55.713"
"44364..XZF...","KUWAIT","1977","CPI % CHANGE","PERCENT PER ANNU","9.88952"
"44364...ZF...","KUWAIT","1976","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","50.6991"
"44364..XZF...","KUWAIT","1976","CPI % CHANGE","PERCENT PER ANNU","5.23504"
"44364...ZF...","KUWAIT","1975","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","48.177"
"44364..XZF...","KUWAIT","1975","CPI % CHANGE","PERCENT PER ANNU","8.39237"
"44364...ZF...","KUWAIT","1974","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","44.4469"
"44364..XZF...","KUWAIT","1974","CPI % CHANGE","PERCENT PER ANNU","12.9926"
"44364...ZF...","KUWAIT","1973","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","39.3361"
"44364..XZF...","KUWAIT","1973","CPI % CHANGE","PERCENT PER ANNU","8.26667"
"44364...ZF...","KUWAIT","1972","CPI:ALL CTRY-FAM.OF 2 OR MORE","INDEX NUMBER","36.3326"
"91764..XZF...","KYRGYZ REPUBLIC","2009","CPI % CHANGE","PERCENT PER ANNU","6.86228"
"91764...ZF...","KYRGYZ REPUBLIC","2009","CONSUMER PRICES","INDEX NUMBER","154.763"
"91764..XZF...","KYRGYZ REPUBLIC","2008","CPI % CHANGE","PERCENT PER ANNU","24.5242"
"91764...ZF...","KYRGYZ REPUBLIC","2008","CONSUMER PRICES","INDEX NUMBER","144.825"
"91764..XZF...","KYRGYZ REPUBLIC","2007","CPI % CHANGE","PERCENT PER ANNU","10.1752"
"91764...ZF...","KYRGYZ REPUBLIC","2007","CONSUMER PRICES","INDEX NUMBER","116.302"
"91764..XZF...","KYRGYZ REPUBLIC","2006","CPI % CHANGE","PERCENT PER ANNU","5.5612"
"91764...ZF...","KYRGYZ REPUBLIC","2006","CONSUMER PRICES","INDEX NUMBER","105.561"
"91764..XZF...","KYRGYZ REPUBLIC","2005","CPI % CHANGE","PERCENT PER ANNU","4.35485"
"91764...ZF...","KYRGYZ REPUBLIC","2005","CONSUMER PRICES","INDEX NUMBER","100"
"91764..XZF...","KYRGYZ REPUBLIC","2004","CPI % CHANGE","PERCENT PER ANNU","4.11081"
"91764...ZF...","KYRGYZ REPUBLIC","2004","CONSUMER PRICES","INDEX NUMBER","95.8269"
"91764..XZF...","KYRGYZ REPUBLIC","2003","CPI % CHANGE","PERCENT PER ANNU","2.97461"
"91764...ZF...","KYRGYZ REPUBLIC","2003","CONSUMER PRICES","INDEX NUMBER","92.0432"
"91764..XZF...","KYRGYZ REPUBLIC","2002","CPI % CHANGE","PERCENT PER ANNU","2.13421"
"91764...ZF...","KYRGYZ REPUBLIC","2002","CONSUMER PRICES","INDEX NUMBER","89.3843"
"91764..XZF...","KYRGYZ REPUBLIC","2001","CPI % CHANGE","PERCENT PER ANNU","6.91968"
"91764...ZF...","KYRGYZ REPUBLIC","2001","CONSUMER PRICES","INDEX NUMBER","87.5165"
"91764..XZF...","KYRGYZ REPUBLIC","2000","CPI % CHANGE","PERCENT PER ANNU","18.7007"
"91764...ZF...","KYRGYZ REPUBLIC","2000","CONSUMER PRICES","INDEX NUMBER","81.8526"
"91764..XZF...","KYRGYZ REPUBLIC","1999","CPI % CHANGE","PERCENT PER ANNU","37.0309"
"91764...ZF...","KYRGYZ REPUBLIC","1999","CONSUMER PRICES","INDEX NUMBER","68.9571"
"91764..XZF...","KYRGYZ REPUBLIC","1998","CPI % CHANGE","PERCENT PER ANNU","10.4574"
"91764...ZF...","KYRGYZ REPUBLIC","1998","CONSUMER PRICES","INDEX NUMBER","50.3223"
"91764..XZF...","KYRGYZ REPUBLIC","1997","CPI % CHANGE","PERCENT PER ANNU","23.4354"
"91764...ZF...","KYRGYZ REPUBLIC","1997","CONSUMER PRICES","INDEX NUMBER","45.5581"
"91764..XZF...","KYRGYZ REPUBLIC","1996","CPI % CHANGE","PERCENT PER ANNU","31.9473"
"91764...ZF...","KYRGYZ REPUBLIC","1996","CONSUMER PRICES","INDEX NUMBER","36.9085"
"91764...ZF...","KYRGYZ REPUBLIC","1995","CONSUMER PRICES","INDEX NUMBER","27.9721"
"54464..XZF...","LAO PEOPLE S DEM.REP","2008","CPI % CHANGE","PERCENT PER ANNU","7.62917"
"54464...ZF...","LAO PEOPLE S DEM.REP","2008","CONSUMER PRICE INDEX","INDEX NUMBER","120.149"
"54464..XZF...","LAO PEOPLE S DEM.REP","2007","CPI % CHANGE","PERCENT PER ANNU","4.5223"
"54464...ZF...","LAO PEOPLE S DEM.REP","2007","CONSUMER PRICE INDEX","INDEX NUMBER","111.632"
"54464..XZF...","LAO PEOPLE S DEM.REP","2006","CPI % CHANGE","PERCENT PER ANNU","6.80219"
"54464...ZF...","LAO PEOPLE S DEM.REP","2006","CONSUMER PRICE INDEX","INDEX NUMBER","106.802"
"54464..XZF...","LAO PEOPLE S DEM.REP","2005","CPI % CHANGE","PERCENT PER ANNU","7.16542"
"54464...ZF...","LAO PEOPLE S DEM.REP","2005","CONSUMER PRICE INDEX","INDEX NUMBER","100"
"54464..XZF...","LAO PEOPLE S DEM.REP","2004","CPI % CHANGE","PERCENT PER ANNU","10.4623"
"54464...ZF...","LAO PEOPLE S DEM.REP","2004","CONSUMER PRICE INDEX","INDEX NUMBER","93.3137"
"54464..XZF...","LAO PEOPLE S DEM.REP","2003","CPI % CHANGE","PERCENT PER ANNU","15.4894"
"54464...ZF...","LAO PEOPLE S DEM.REP","2003","CONSUMER PRICE INDEX","INDEX NUMBER","84.4756"
"54464..XZF...","LAO PEOPLE S DEM.REP","2002","CPI % CHANGE","PERCENT PER ANNU","10.6313"
"54464...ZF...","LAO PEOPLE S DEM.REP","2002","CONSUMER PRICE INDEX","INDEX NUMBER","73.1458"
"54464..XZF...","LAO PEOPLE S DEM.REP","2001","CPI % CHANGE","PERCENT PER ANNU","7.81181"
"54464...ZF...","LAO PEOPLE S DEM.REP","2001","CONSUMER PRICE INDEX","INDEX NUMBER","66.1167"
"54464..XZF...","LAO PEOPLE S DEM.REP","2000","CPI % CHANGE","PERCENT PER ANNU","25.0846"
"54464...ZF...","LAO PEOPLE S DEM.REP","2000","CONSUMER PRICE INDEX","INDEX NUMBER","61.326"
"54464..XZF...","LAO PEOPLE S DEM.REP","1999","CPI % CHANGE","PERCENT PER ANNU","128.419"
"54464...ZF...","LAO PEOPLE S DEM.REP","1999","CONSUMER PRICE INDEX","INDEX NUMBER","49.0276"
"54464..XZF...","LAO PEOPLE S DEM.REP","1998","CPI % CHANGE","PERCENT PER ANNU","90.9807"
"54464...ZF...","LAO PEOPLE S DEM.REP","1998","CONSUMER PRICE INDEX","INDEX NUMBER","21.4639"
"54464..XZF...","LAO PEOPLE S DEM.REP","1997","CPI % CHANGE","PERCENT PER ANNU","27.5089"
"54464...ZF...","LAO PEOPLE S DEM.REP","1997","CONSUMER PRICE INDEX","INDEX NUMBER","11.2388"
"54464..XZF...","LAO PEOPLE S DEM.REP","1996","CPI % CHANGE","PERCENT PER ANNU","13.0232"
"54464...ZF...","LAO PEOPLE S DEM.REP","1996","CONSUMER PRICE INDEX","INDEX NUMBER","8.81411"
"54464..XZF...","LAO PEOPLE S DEM.REP","1995","CPI % CHANGE","PERCENT PER ANNU","19.5939"
"54464...ZF...","LAO PEOPLE S DEM.REP","1995","CONSUMER PRICE INDEX","INDEX NUMBER","7.7985"
"54464..XZF...","LAO PEOPLE S DEM.REP","1994","CPI % CHANGE","PERCENT PER ANNU","6.78448"
"54464...ZF...","LAO PEOPLE S DEM.REP","1994","CONSUMER PRICE INDEX","INDEX NUMBER","6.52082"
"54464..XZF...","LAO PEOPLE S DEM.REP","1993","CPI % CHANGE","PERCENT PER ANNU","6.26722"
"54464...ZF...","LAO PEOPLE S DEM.REP","1993","CONSUMER PRICE INDEX","INDEX NUMBER","6.10652"
"54464..XZF...","LAO PEOPLE S DEM.REP","1992","CPI % CHANGE","PERCENT PER ANNU","9.86453"
"54464...ZF...","LAO PEOPLE S DEM.REP","1992","CONSUMER PRICE INDEX","INDEX NUMBER","5.74638"
"54464..XZF...","LAO PEOPLE S DEM.REP","1991","CPI % CHANGE","PERCENT PER ANNU","13.4416"
"54464...ZF...","LAO PEOPLE S DEM.REP","1991","CONSUMER PRICE INDEX","INDEX NUMBER","5.23043"
"54464..XZF...","LAO PEOPLE S DEM.REP","1990","CPI % CHANGE","PERCENT PER ANNU","35.643"
"54464...ZF...","LAO PEOPLE S DEM.REP","1990","CONSUMER PRICE INDEX","INDEX NUMBER","4.61068"
"54464..XZF...","LAO PEOPLE S DEM.REP","1989","CPI % CHANGE","PERCENT PER ANNU","61.3326"
"54464...ZF...","LAO PEOPLE S DEM.REP","1989","CONSUMER PRICE INDEX","INDEX NUMBER","3.39913"
"54464...ZF...","LAO PEOPLE S DEM.REP","1988","CONSUMER PRICE INDEX","INDEX NUMBER","2.10691"
"94164H..ZF...","LATVIA","2009","HARMONIZED CPI 2005=100","INDEX NUMBER","139.617"
"94164..XZF...","LATVIA","2009","CPI % CHANGE","PERCENT PER ANNU","3.52767"
"94164...ZF...","LATVIA","2009","CONSUMER PRICE INDEX","INDEX NUMBER","140.145"
"94164H..ZF...","LATVIA","2008","HARMONIZED CPI 2005=100","INDEX NUMBER","135.21"
"94164..XZF...","LATVIA","2008","CPI % CHANGE","PERCENT PER ANNU","15.4032"
"94164...ZF...","LATVIA","2008","CONSUMER PRICE INDEX","INDEX NUMBER","135.37"
"94164H..ZF...","LATVIA","2007","HARMONIZED CPI 2005=100","INDEX NUMBER","117.317"
"94164..XZF...","LATVIA","2007","CPI % CHANGE","PERCENT PER ANNU","10.1072"
"94164...ZF...","LATVIA","2007","CONSUMER PRICE INDEX","INDEX NUMBER","117.301"
"94164H..ZF...","LATVIA","2006","HARMONIZED CPI 2005=100","INDEX NUMBER","106.571"
"94164..XZF...","LATVIA","2006","CPI % CHANGE","PERCENT PER ANNU","6.53388"
"94164...ZF...","LATVIA","2006","CONSUMER PRICE INDEX","INDEX NUMBER","106.534"
"94164H..ZF...","LATVIA","2005","HARMONIZED CPI 2005=100","INDEX NUMBER","100"
"94164..XZF...","LATVIA","2005","CPI % CHANGE","PERCENT PER ANNU","6.74317"
"94164...ZF...","LATVIA","2005","CONSUMER PRICE INDEX","INDEX NUMBER","100"
"94164H..ZF...","LATVIA","2004","HARMONIZED CPI 2005=100","INDEX NUMBER","93.5484"
"94164..XZF...","LATVIA","2004","CPI % CHANGE","PERCENT PER ANNU","6.18742"
"94164...ZF...","LATVIA","2004","CONSUMER PRICE INDEX","INDEX NUMBER","93.6828"
"94164H..ZF...","LATVIA","2003","HARMONIZED CPI 2005=100","INDEX NUMBER","88.0968"
"94164..XZF...","LATVIA","2003","CPI % CHANGE","PERCENT PER ANNU","2.95662"
"94164...ZF...","LATVIA","2003","CONSUMER PRICE INDEX","INDEX NUMBER","88.224"
"94164H..ZF...","LATVIA","2002","HARMONIZED CPI 2005=100","INDEX NUMBER","85.5801"
"94164..XZF...","LATVIA","2002","CPI % CHANGE","PERCENT PER ANNU","1.92308"
"94164...ZF...","LATVIA","2002","CONSUMER PRICE INDEX","INDEX NUMBER","85.6905"
"94164H..ZF...","LATVIA","2001","HARMONIZED CPI 2005=100","INDEX NUMBER","83.9393"
"94164..XZF...","LATVIA","2001","CPI % CHANGE","PERCENT PER ANNU","2.47867"
"94164...ZF...","LATVIA","2001","CONSUMER PRICE INDEX","INDEX NUMBER","84.0737"
"94164H..ZF...","LATVIA","2000","HARMONIZED CPI 2005=100","INDEX NUMBER","81.8727"
"94164..XZF...","LATVIA","2000","CPI % CHANGE","PERCENT PER ANNU","2.64859"
"94164...ZF...","LATVIA","2000","CONSUMER PRICE INDEX","INDEX NUMBER","82.0402"
"94164H..ZF...","LATVIA","1999","HARMONIZED CPI 2005=100","INDEX NUMBER","79.7693"
"94164..XZF...","LATVIA","1999","CPI % CHANGE","PERCENT PER ANNU","2.35884"
"94164...ZF...","LATVIA","1999","CONSUMER PRICE INDEX","INDEX NUMBER","79.9233"
"94164..XZF...","LATVIA","1998","CPI % CHANGE","PERCENT PER ANNU","4.6583"
"94164...ZF...","LATVIA","1998","CONSUMER PRICE INDEX","INDEX NUMBER","78.0815"
"94164..XZF...","LATVIA","1997","CPI % CHANGE","PERCENT PER ANNU","8.43783"
"94164...ZF...","LATVIA","1997","CONSUMER PRICE INDEX","INDEX NUMBER","74.6061"
"94164..XZF...","LATVIA","1996","CPI % CHANGE","PERCENT PER ANNU","17.6113"
"94164...ZF...","LATVIA","1996","CONSUMER PRICE INDEX","INDEX NUMBER","68.8008"
"94164..XZF...","LATVIA","1995","CPI % CHANGE","PERCENT PER ANNU","24.9794"
"94164...ZF...","LATVIA","1995","CONSUMER PRICE INDEX","INDEX NUMBER","58.4985"
"94164..XZF...","LATVIA","1994","CPI % CHANGE","PERCENT PER ANNU","35.9251"
"94164...ZF...","LATVIA","1994","CONSUMER PRICE INDEX","INDEX NUMBER","46.8065"
"94164..XZF...","LATVIA","1993","CPI % CHANGE","PERCENT PER ANNU","108.768"
"94164...ZF...","LATVIA","1993","CONSUMER PRICE INDEX","INDEX NUMBER","34.4355"
"94164..XZF...","LATVIA","1992","CPI % CHANGE","PERCENT PER ANNU","243.267"
"94164...ZF...","LATVIA","1992","CONSUMER PRICE INDEX","INDEX NUMBER","16.4947"
"94164...ZF...","LATVIA","1991","CONSUMER PRICE INDEX","INDEX NUMBER","4.8052"
"44664...ZF...","LEBANON","2009","CONSUMER PRICES","","103.413"
"44664...ZF...","LEBANON","2008","CONSUMER PRICES","","100"
"44664..XZF...","LEBANON","1994","CPI % CHANGE","PERCENT PER ANNU","6.79634"
"44664..XZF...","LEBANON","1993","CPI % CHANGE","PERCENT PER ANNU","15.6597"
"44664..XZF...","LEBANON","1992","CPI % CHANGE","PERCENT PER ANNU","80.7423"
"44664..XZF...","LEBANON","1991","CPI % CHANGE","PERCENT PER ANNU","48.4213"
"44664..XZF...","LEBANON","1990","CPI % CHANGE","PERCENT PER ANNU","62.7281"
"44664..XZF...","LEBANON","1989","CPI % CHANGE","PERCENT PER ANNU","48.0877"
"44664..XZF...","LEBANON","1988","CPI % CHANGE","PERCENT PER ANNU","127.841"
"44664..XZF...","LEBANON","1987","CPI % CHANGE","PERCENT PER ANNU","487.578"
"44664..XZF...","LEBANON","1986","CPI % CHANGE","PERCENT PER ANNU","95.2068"
"44664..XZF...","LEBANON","1985","CPI % CHANGE","PERCENT PER ANNU","54.4822"
"44664..XZF...","LEBANON","1984","CPI % CHANGE","PERCENT PER ANNU","14.6186"
"44664..XZF...","LEBANON","1983","CPI % CHANGE","PERCENT PER ANNU","7.18438"
"44664..XZF...","LEBANON","1982","CPI % CHANGE","PERCENT PER ANNU","13.8328"
"44664..XZF...","LEBANON","1981","CPI % CHANGE","PERCENT PER ANNU","15.9888"
"44664..XZF...","LEBANON","1980","CPI % CHANGE","PERCENT PER ANNU","10.5331"
"44664..XZF...","LEBANON","1979","CPI % CHANGE","PERCENT PER ANNU","23.7679"
"44664..XZF...","LEBANON","1974","CPI % CHANGE","PERCENT PER ANNU","11.0609"
"44664..XZF...","LEBANON","1973","CPI % CHANGE","PERCENT PER ANNU","6.03092"
"44664..XZF...","LEBANON","1972","CPI % CHANGE","PERCENT PER ANNU","4.9269"
"44664..XZF...","LEBANON","1971","CPI % CHANGE","PERCENT PER ANNU","1.60941"
"44664..XZF...","LEBANON","1970","CPI % CHANGE","PERCENT PER ANNU","0"
"44664..XZF...","LEBANON","1969","CPI % CHANGE","PERCENT PER ANNU","4.56311"
"44664..XZF...","LEBANON","1968","CPI % CHANGE","PERCENT PER ANNU","-0.675024"
"44664..XZF...","LEBANON","1967","CPI % CHANGE","PERCENT PER ANNU","3.7"
"66664...ZF...","LESOTHO","2009","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","135.928"
"66664..XZF...","LESOTHO","2009","CPI % CHANGE","PERCENT PER ANNU","7.15921"
"66664...ZF...","LESOTHO","2008","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","126.847"
"66664..XZF...","LESOTHO","2008","CPI % CHANGE","PERCENT PER ANNU","10.721"
"66664...ZF...","LESOTHO","2007","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","114.564"
"66664..XZF...","LESOTHO","2007","CPI % CHANGE","PERCENT PER ANNU","8.03031"
"66664...ZF...","LESOTHO","2006","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","106.048"
"66664..XZF...","LESOTHO","2006","CPI % CHANGE","PERCENT PER ANNU","6.04821"
"66664...ZF...","LESOTHO","2005","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","100"
"66664..XZF...","LESOTHO","2005","CPI % CHANGE","PERCENT PER ANNU","3.43793"
"66664...ZF...","LESOTHO","2004","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","96.6763"
"66664..XZF...","LESOTHO","2004","CPI % CHANGE","PERCENT PER ANNU","5.02012"
"66664...ZF...","LESOTHO","2003","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","92.0551"
"66664..XZF...","LESOTHO","2003","CPI % CHANGE","PERCENT PER ANNU","6.67309"
"66664...ZF...","LESOTHO","2002","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","86.2964"
"66664..XZF...","LESOTHO","2002","CPI % CHANGE","PERCENT PER ANNU","33.8126"
"66664...ZF...","LESOTHO","2001","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","64.4905"
"66664..XZF...","LESOTHO","2001","CPI % CHANGE","PERCENT PER ANNU","-9.61615"
"66664...ZF...","LESOTHO","2000","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","71.3518"
"66664..XZF...","LESOTHO","2000","CPI % CHANGE","PERCENT PER ANNU","6.13198"
"66664...ZF...","LESOTHO","1999","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","67.2293"
"66664...ZF...","LESOTHO","1996","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","76.2055"
"66664..XZF...","LESOTHO","1996","CPI % CHANGE","PERCENT PER ANNU","9.33031"
"66664...ZF...","LESOTHO","1995","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","69.7021"
"66664..XZF...","LESOTHO","1995","CPI % CHANGE","PERCENT PER ANNU","9.27083"
"66664...ZF...","LESOTHO","1994","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","63.7884"
"66664..XZF...","LESOTHO","1994","CPI % CHANGE","PERCENT PER ANNU","8.21474"
"66664...ZF...","LESOTHO","1993","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","58.9461"
"66664..XZF...","LESOTHO","1993","CPI % CHANGE","PERCENT PER ANNU","13.1357"
"66664...ZF...","LESOTHO","1992","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","52.1021"
"66664..XZF...","LESOTHO","1992","CPI % CHANGE","PERCENT PER ANNU","17.2085"
"66664...ZF...","LESOTHO","1991","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","44.4525"
"66664..XZF...","LESOTHO","1991","CPI % CHANGE","PERCENT PER ANNU","17.6781"
"66664...ZF...","LESOTHO","1990","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","37.7747"
"66664..XZF...","LESOTHO","1990","CPI % CHANGE","PERCENT PER ANNU","11.6348"
"66664...ZF...","LESOTHO","1989","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","33.8377"
"66664..XZF...","LESOTHO","1989","CPI % CHANGE","PERCENT PER ANNU","14.7282"
"66664...ZF...","LESOTHO","1988","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","29.4938"
"66664..XZF...","LESOTHO","1988","CPI % CHANGE","PERCENT PER ANNU","11.4564"
"66664...ZF...","LESOTHO","1987","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","26.4622"
"66664..XZF...","LESOTHO","1987","CPI % CHANGE","PERCENT PER ANNU","11.7503"
"66664...ZF...","LESOTHO","1986","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","23.6798"
"66664..XZF...","LESOTHO","1986","CPI % CHANGE","PERCENT PER ANNU","18.005"
"66664...ZF...","LESOTHO","1985","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","20.0668"
"66664..XZF...","LESOTHO","1985","CPI % CHANGE","PERCENT PER ANNU","13.3208"
"66664...ZF...","LESOTHO","1984","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","17.7079"
"66664..XZF...","LESOTHO","1984","CPI % CHANGE","PERCENT PER ANNU","10.9839"
"66664...ZF...","LESOTHO","1983","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","15.9554"
"66664..XZF...","LESOTHO","1983","CPI % CHANGE","PERCENT PER ANNU","17.4924"
"66664...ZF...","LESOTHO","1982","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","13.5799"
"66664..XZF...","LESOTHO","1982","CPI % CHANGE","PERCENT PER ANNU","12.1399"
"66664...ZF...","LESOTHO","1981","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","12.1098"
"66664..XZF...","LESOTHO","1981","CPI % CHANGE","PERCENT PER ANNU","12.4133"
"66664...ZF...","LESOTHO","1980","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","10.7726"
"66664..XZF...","LESOTHO","1980","CPI % CHANGE","PERCENT PER ANNU","16.2748"
"66664...ZF...","LESOTHO","1979","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","9.26477"
"66664..XZF...","LESOTHO","1979","CPI % CHANGE","PERCENT PER ANNU","16.0036"
"66664...ZF...","LESOTHO","1978","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","7.98662"
"66664..XZF...","LESOTHO","1978","CPI % CHANGE","PERCENT PER ANNU","13.4836"
"66664...ZF...","LESOTHO","1977","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","7.03769"
"66664..XZF...","LESOTHO","1977","CPI % CHANGE","PERCENT PER ANNU","16.6883"
"66664...ZF...","LESOTHO","1976","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","6.03119"
"66664..XZF...","LESOTHO","1976","CPI % CHANGE","PERCENT PER ANNU","11.4126"
"66664...ZF...","LESOTHO","1975","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","5.41338"
"66664..XZF...","LESOTHO","1975","CPI % CHANGE","PERCENT PER ANNU","14.2119"
"66664...ZF...","LESOTHO","1974","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","4.73977"
"66664..XZF...","LESOTHO","1974","CPI % CHANGE","PERCENT PER ANNU","13.4228"
"66664...ZF...","LESOTHO","1973","CPI MASERU MIDDLE & HIGH INC.","INDEX NUMBER","4.17885"
"66864..XZF...","LIBERIA","1989","CPI % CHANGE","PERCENT PER ANNU","5.84614"
"66864..XZF...","LIBERIA","1988","CPI % CHANGE","PERCENT PER ANNU","9.63714"
"66864..XZF...","LIBERIA","1987","CPI % CHANGE","PERCENT PER ANNU","4.99135"
"66864..XZF...","LIBERIA","1986","CPI % CHANGE","PERCENT PER ANNU","4.03946"
"66864..XZF...","LIBERIA","1985","CPI % CHANGE","PERCENT PER ANNU","-1.03217"
