country,city,reason,date
Portugal,Terceira Island (Azores),Discussed international monetary problems with French President Pompidou and Portuguese Prime Minister Caetano.,"December 13–14, 1971"
United Kingdom,Bermuda,Met with British Prime Minister Heath.,"December 20–21, 1971"
"China, People’s Republic of","Shanghai, Peking, Hangchow",State visit; met with Chairman Mao Tse-tung and Premier Chou En-lai.,"February 21–28, 1972"
Canada,Ottawa,State visit; met with Governor General Michener and Prime Minister Trudeau; addressed Parliament.,"April 13–15, 1972"
Austria,Salzburg,Informal visit; met with Chancellor Kreisky.,"May 20–22, 1972"
U.S.S.R.,"Moscow, Leningrad, Kiev",State visit; met with Premier Kosygin and General Secretary Brezhnev. Signed SALT I and ABM Treaties.,"May 22–30, 1972"
Iran,Tehran,Official visit; met with Shah Mohammed Reza Pahlavi.,"May 30–31, 1972"
Poland,Warsaw,Official visit; met with First Secretary Gierek.,"May 31–June 1, 1972"
Iceland,Reykjavik,"Met with President Eldjarn and Prime Minister Johanneson, and French President Pompidou.","May 31–June 1, 1973"
France,Paris,"Attended memorial services for former President Pompidou. Met afterward with interim President Poher, Italian Prime Minister Leone, British Prime Minister Wilson, West German Chancellor Brandt, Danish Prime Minister Hartling, Soviet President Podgorny, and Japanese Prime Minister Tanaka.","April 5–7, 1974"
Austria,Salzburg,Met with Chancellor Kreisky.,"June 10–12, 1974"
Egypt,"Cairo, Alexandria",Met with President Sadat.,"June 12–14, 1974"
Saudi Arabia,Jidda,Met with King Faisal.,"June 14–15, 1974"
Syria,Damascus,Met with President Assad.,"June 15–16, 1974"
Israel,"Tel Aviv, Jerusalem",Met with President Katzir and Prime Minister Rabin.,"June 16–17, 1974"
Jordan,Amman,State visit; met with King Hussein.,"June 17–18, 1974"
Portugal,Lajes Field (The Azores),Met with President Spinola.,"June 18–19, 1974"
Belgium,Brussels,"Attended North Atlantic Council meeting, and met separately with King Baudonin and Queen Fabiola, Prime Minister Tindemans; and with German Chancellor Schmidt, British Prime Minister Wilson, and Italian Prime Minister Rumor.","June 25–26, 1974"
U.S.S.R.,"Moscow, Minsk, Oreanda","Official visit; met with General Secretary Brezhnev, President Podgorny, and Premier Kosygin.","June 27–July 3, 1974"
Mexico,"Nogales, Magdalena de Kino",Met with President Echeverria and laid a wreath at the tomb of Padre Eusebio Kino.,21-Oct-74
Japan,"Tokyo, Kyoto",State visit; met with Prime Minister Tanaka.,"November 18–22, 1974"
"Korea, Republic of",Seoul,Met with President Park Chung Hee.,"November 22–23, 1974"
U.S.S.R.,Vladivostok,Met with General Secretary Brezhnev and discussed limitations of strategic arms.,"November 23–24, 1974"
France,Martinique,Met with President Giscard d'Estaing.,"December 14–16, 1974"
Belgium,Brussels,"Attended NATO summit meeting, addressed the North Atlantic Council, and met separately with NATO Heads of State and Government.","May 28–31, 1975"
Spain,Madrid,Met with Generalissimo Franco. Received keys to city from Mayor of Madrid.,"May 31–June 1, 1975"
Austria,Salzburg,Met with Chancellor Kreisky and with Egyptian President Sadat.,"June 1–3, 1975"
Italy,Rome,Met with President Leone and Prime Minister Moro.,3-Jun-75
Vatican City,,Audience with Pope Paul VI.,3-Jun-75
"Germany, Federal Republic of","Bonn, Linz",Met with President Scheel and Chancellor Schmidt.,"July 26–28, 1975"
Poland,"Warsaw, Krakow",Official visit; met with First Secretary Gierek.,"July 28–29, 1975"
Finland,Helsinki,"Attended opening session of the Conference on Security and Cooperation in Europe. Met with the Heads of State and Government of Finland, Great Britain, Turkey, West Germany, France, Italy, and Spain. Also met with Soviet General Secretary Brezhnev. Signed the Final Act of the Conference on August 1.","July 29–August 2, 1975"
Romania,"Bucharest, Sinaia",Official visit; met with President Ceausescu.,"August 2–3, 1975"
Yugoslavia,Belgrade,Official visit; met with President Tito and Prime Minister Bijedic.,"August 3–4, 1975"
France,Rambouillet,"Attended Economic Summit meeting of the Heads of State and Government of France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","November 15–17, 1975"
"China, People’s Republic of",Peking,Official visit; met with Chairman Mao Tse-tung and Vice Premier Teng Hsiao-ping.,"December 1–5, 1975"
Indonesia,Jakarta,Official visit; met with President Suharto.,"December 5–6, 1975"
Philippines,Manila,Official visit; met with President Marcos.,"December 6–7, 1975"
United Kingdom,"London, Newcastle","Attended Economic Summit Meeting May 7-8 of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom. Also met with the Prime Ministers of Greece, Belgium, Turkey, Norway, the Netherlands, and Luxembourg, and with the President of Portugal. Addressed NATO Ministers meeting on May 10.","May 5–10, 1977"
Switzerland,Geneva,Official visit; met with President Furgler. Also met with Syrian President Assad.,9-May-77
Poland,Warsaw,Official visit; met with First Secretary Gierek.,"December 29–31, 1977"
Iran,Tehran,Official visit; met with Shah Mohammed Reza Pahlavi and King Hussein of Jordan.,"December 31, 1977–January 1, 1978"
India,"New Delhi, Daulatpur-Nasirabad",Met with President Reddy and Prime Minister Desai. Addressed Parliament.,"January 1–3, 1978"
Saudi Arabia,Riyadh,Met with King Khalid and Crown Prince Fahd.,"January 3–4, 1978"
Egypt,Aswan,Met with President Sadat and German Chancellor Schmidt.,4-Jan-78
France,"Paris, Normandy, Bayeux, Versailles",Met with President Giscard d'Estaing and Prime Minister Barre.,"January 4–6, 1978"
