country,city,reason,date
Palestinian Authority,"Ramallah, Bethlehem",Met with President Abbas and visited the Church of the Nativity.,10-Jan-08
Kuwait,"Kuwait City, Camp Arifjan",Attended Roundtable on Democracy and Development. Met with Gen. Petraeus and Ambassador Crocker at Camp Arifjan and addressed U.S. military personnel.,"January 11–12, 2008"
Bahrain,Manama,Met with King Hamad bin Isa al –Khalifa. Addressed U.S. military personnel.,"January 12–13, 2008"
United Arab Emirates,"Abu Dhabi, Dubai",Met with President Khalifa bin Zayid al Nuhayyin and Crown Prince Sheikh Mohammed.,"January 13–14, 2008"
Saudi Arabia,"Riyadh, Al-Janadriyah",Met with King Abdullah.,"January 14–16, 2008"
Egypt,Sharm el-Sheikh,Met with President Mubarak.,16-Jan-08
Benin,Porto Novo,Met with President Boni.,16-Feb-08
Tanzania,"Dar es Salaam, Arusha","Met with President Kikwete, signed Millennium Challenge agreement.","February 16–19, 2008"
Rwanda,Kigali,Met with President Kagame and dedicated new Embassy.,19-Feb-08
Ghana,Accra,Met with President Kufuor.,"February 19–21, 2008"
Liberia,Liberia,Met with President Johnson Sirleaf.,21-Feb-08
Ukraine,Kyiv,Met with President Yushchenko and Prime Minister Tymoshenko.,"March 31–April 1, 2008"
Romania,Bucharest,"Met with President Basescu and Prime Minister Popescu-Tariceanu. Attended NATO, Euro-Atlantic Partnership Council, NATO-Ukraine Commission, and NATO-Russia Council Summit Meetings.","April 2–4, 2008"
Croatia,Zagreb,Met with President Mesic.,"April 4–5, 2008"
Russia,Sochi,Met with President Putin and President-elect Medvedev.,"April 5–6, 2008"
Israel,"Tel Aviv, Jerusalem, Masada",Met with President Peres and Prime Minister Olmert. Addressed the Knesset. Commemorated Israel’s 60th anniversary.,"May 14–16, 2008"
Saudi Arabia,"Riyadh, Al-Janadriyah",Met with King Abdullah.,"May 16–17, 2008"
Egypt,Sharm el-Sheikh,"Met with President Mubarak, King Abdullah II of Jordan, Palestinian Authority President Abbas and Prime Minister Fayyad, Afghan President Karzai and Pakistani Prime Minister Gilan. Addressed the World Economic Forum.","May 17–18, 2008"
Slovenia,Ljubljana,Met with President Turk and Prime Minister Jansa. Attended the EU-US Summit Meeting.,"June 9–10, 2008"
Germany,Meseberg,Met with Chancellor Merkel.,"June 10–11, 2008"
Italy,Rome,Met with President Napolitano and Prime Minister Berlusconi.,"June 11–13, 2008"
Vatican City,,Met with Pope Benedict XVI.,13-Jun-08
France,Paris,Met with President Sarkozy. Addressed the OECD. Attended wreath-laying ceremonies at Suresnes and Mont Valerien.,"June 13–15, 2008"
United Kingdom,"London, Belfast","Met with Queen Elizabeth II at Windsor Castle. Met with Prime Minister Blair and Quartet Representative Blair. In Belfast, met with First Minister Robertson and Deputy First Minister McGuinness.","June 15–16, 2008"
Japan,Toyako,"Attended the G-8 Economic Summit. Also met with Tanzanian President Kikwete, Indian Prime Minister Singh, Chinese President Hu, and South Korean President Lee.","July 6–9, 2008"
"Korea, Republic of","Seoul, Yongsan",Met with President Lee and addressed U.S. military personnel.,"August 5–6, 2008"
Thailand,Bangkok,Met with Prime Minister Samak and addressed Burmese activists.,"August 6–7, 2008"
China,Beijing,Attended opening ceremonies of the Olympic Games. Dedicated a new U.S. Embassy. Met with President Hu and Russian Prime Minister Putin.,"August 7–11, 2008"
Peru,Lima,Attended the APEC Summit Meeting and met with President Garcia.,"November 21–23, 2008"
Iraq,Baghdad,Met with President Talabani and Prime Minister Maliki. Signed Strategic Framework and Security Agreements. Visited U.S. military personnel.,14-Dec-08
Afghanistan,Kabul,Met with President Karzai and visited U.S. military personnel.,"December 14–15, 2008"
Canada,Ottawa,Met with Prime Minister Harper.,19-Feb-09
United Kingdom,London,Met with Queen Elizabeth II and Prime Minister Brown. Attended the G-20 Economic Summit Meeting.,"March 31–April 3, 2009"
France,Strasbourg,Attended the NATO Summit Meeting.,"April 3–4, 2009"
Germany,"Baden-Baden, Kehl",Attended a working dinner for NATO leaders.,"April 3–4, 2009"
Czech Republic,Prague,Attended U.S.-European Union Summit meeting.,"April 4–5, 2009"
Turkey,"Ankara, Istanbul",Met with President Gul and Prime Minister Erdogan; addressed the Grand National Assembly.,"April 5–7, 2009"
Iraq,Baghdad,Met with President Talabani and U.S. military personnel.,7-Apr-09
Mexico,Mexico City,Met with President Calderon.,"April 16–17, 2009"
Trinidad and Tobago,Port-of-Spain,Attended the Summit of the Americas.,"April 17–19, 2009"
Saudi Arabia,Riyadh,Met with King Abdullah.,"June 3–4, 2009"
Egypt,Cairo,Met with President Mubarak and delivered and address at Cairo University.,4-Jun-09
Germany,"Dresden, Weimar, Landstuhl","Met with Chancellor Merkel, visited the Buchenwald concentration camp and visited wounded U.S. military personnel.","June 4–5, 2009"
France,"Paris, Caen",Met with President Sarkozy and dedicated the new visitor center at the U.S. Military Cemetery in Normandy.,"June 5–7, 2009"
Russia,Moscow,Met with President Medvedev and Prime Minister Putin.,"July 6–8, 2009"
Italy,"Rome, L’Aquila","Attended the G-8 Summit Meeting. Also met with the leaders of Angola, Algeria, Australia, Brazil, China, Egypt, India, Mexico, Nigeria, Senegal, South Africa, and various international organizations.","July 8–10, 2009"
Vatican City,,Audience with Pope Benedict XVI.,10-Jul-09
Ghana,"Accra, Cape Coast",Met with President Mills and addressed Parliament.,"July 10–11, 2009"
Mexico,Guadalajara,Attended the North American Leaders’ Summit.,"August 9–10, 2009"
Denmark,Copenhagen,Addressed a session of the International Olympic Committee and met with Prime Minister Rasmussen.,2-Oct-09
Japan,Tokyo,Met with Emperor Akihito and Prime Minister Hatoyama.,"November 13–14, 2009"
Singapore,Singapore,Attended the APEC Leaders’ Meeting.,"November 14–15, 2009"
"China, People’s Republic of","Shanghai, Beijing","Met with President Hu, National People’s Congress Chairman Wu, and Premier Wen. Visited the Great Wall.","November 15–18, 2009"
"Korea, Republic of","Osan, Seoul",Met with President Lee.,"November 18–19, 2009"
Norway,Oslo,Met with King Harald V and Queen Sonja. Received the Nobel Peace Prize.,"December 10–11, 2009"
Denmark,Copenhagen,Attended the UN Climate Change Conference.,18-Dec-09
Afghanistan,"Kabul, Bagram",Met with President Karzai and addressed U.S. military personnel.,28-Mar-10
Czech Republic,Prague,"Signed Strategic Arms Reduction Treaty with Russia. Also met with the Presidents of the Czech Republic, Estonia, Latvia, and Romania; and with the Prime Ministers of Bulgaria, Croatia, the Czech Republic, Hungary, Lithuania, Poland, Slovakia, and Slovenia.","April 8–9, 2010"
Canada,"Muskoka, Toronto",Attended the G-8 and G-20 Economic Summit Meetings.,"June 25–27, 2010"
India,"Mumbai, New Delhi",Attended U.S.-India Business and Entrepreneurship Summit in Mumbai. Met with Prime Minister Singh and President Patil. Addressed the Indian Parliament.,"November 6–9, 2010"
Indonesia,Jakarta,Met with President Yudhoyono.,"November 9–10, 2010"
"Korea, Republic of",Seoul,Met with President Lee; attended the G-20 Summit Meeting.,"November 10–12, 2010"
Japan,"Yokohama, Kamakura",Attended the Asia-Pacific Economic Cooperation’s CEO Summit Meetings.,"November 12–14, 2010"
Portugal,Lisbon,Attended the NATO and U.S.-European Union Summit Meetings.,"November 19–20, 2010"
Afghanistan,Bagram,Met with the leaders of the U.S. military and diplomatic missions and visited U.S. military personnel.,3-Dec-10
Brazil,"Brasilia, Rio de Janeiro",Met with President Roussef.,"March 19–21, 2011"
Chile,Santiago,Met with President Pinera.,"March 21–22, 2011"
El Salvador,San Salvador,Met with President Funes.,"March 22–23, 2011"
Ireland,"Dublin, Farmleigh, Moneygall",Met with President McAleese and Prime Minister Kenny. Visited ancestral home.,23-May-11
United Kingdom,London,"Met with Queen Elizabeth II, Prime Minister Cameron, and Labour Party leader Miliband.","May 23–26, 2011"
France,"Deauville, Paris",Attended the G-8 Economic Summit.,"May 26–27, 2011"
Poland,Warsaw,Met with President Komorowski and Prime Minister Tusk.,"May 27–28, 2011"
France,Cannes,Attended the G-20 Summit Meeting.,"November 3–4, 2011"
Australia,"Canberra, Darwin",Met with Prime Minister Gillard. Announced a new military cooperation agreement.,"November 16–17, 2011"
Indonesia,Bali,Attended the ASEAN and East Asia Summit Meetings.,"November 17–20, 2011"
"Korea, Republic of",Seoul,Attended the Nuclear Security Summit. Met with President Lee Myung-bak and visited the Demilitarized Zone.,"March 25–27, 2012"
Colombia,Cartagena,Attended the Summit of the Americas.,"April 13–15, 2012"
Afghanistan,Kabul,Met with President Karzai and addressed U.S. military personnel. Signed a long-term strategic partnership agreement.,"May 1–2, 2012"
Mexico,Cabo San Lucas,Attended the G-20 Economic Summit meeting.,"June 17–19, 2012"
Thailand,Bangkok,Met with King Bhumibol Adulyadej and Prime Minister Yingluck Shinawatra.,"November 18–19, 2012"
Burma,Rangoon,"Met with President Thein Sein, National League for Democracy leader Aung San Suu Kyi, and representatives of Burmese civil society.",19-Nov-12
Cambodia,Phnom Penh,"Met with Prime Minister Hun Sen and a U.S.-ASEAN Leaders’ meeting, a Trans-Pacific Partnership meeting, and the East Asia Summit meeting.",19-Nov-12
Israel,"Tel Aviv, Jerusalem",Met with President Shimon Peres and Prime Minister Benjamin Netanyahu.,"March 20–22, 2013"
Palestinian Authority,"Ramallah, Al-Bireh, Bethlehem",Met with President Mahmoud Abbas.,"March 21–22, 2013"
Jordan,"Amman, Petra",Met with King Abdullah II.,"March 22–24, 2013"
Mexico,Mexico City,Met with President Enrique Pena Nieto.,"May 2–3, 2013"
Costa Rica,San Jose,Met with President Laura Chinchilla and leaders of the Central American Integration System.,"May 3–4, 2013"
United Kingdom (Northern Ireland),"Belfast, Enniskillen",Attended the G-8 Economic Summit Meeting.,"June 16–18, 2013"
Germany,Berlin,Met with President Joachim Gauck and Chancellor Angela Merkel.,"June 18–19, 2013"
Senegal,Dakar,Met with President Macky Sall.,"June 26–28, 2013"
South Africa,"Johannesburg, Pretoria, Cape Town",Met with President Jacob Zuma and with members of the Mandela family. Visited Robben Island.,"June 28–July 1, 2013"
Tanzania,Dar es Salaam,Met with President Jakaya Kikwete. Laid a wreath at the memorial to the 1998 Embassy bombing.,"July 1–2, 2013"
Senegal,Dakar,Stopped during return to Washington.,2-Jul-13
Sweden,Stockholm,Met with King Carl XVI Gustaf and Prime Minister John Fredrik Reinfeldt.,"September 4–5, 2013"
Russia,St. Petersburg,Attended the G-20 Economic Summit.,"September 5–6, 2013"
South Africa,Johannesburg,Attended memorial service for former President Nelson Mandela.,"December 9–11, 2013"
Mexico,Toluca,Attended the North American Leaders Summit.,14-Feb-14
Netherlands,"The Hague, Amsterdam","Attended the World Forum the Nuclear Security Summit, and a G-7 meeting on the Ukrainian crisis. Met with King Willem-Alexander and President Nursultan Nazarbayev of Kazakhstan.","March 24–25, 2014"
Belgium,"Waregem, Brussels",Attended a wreath-laying ceremony at the Flanders Field American Cemetery. Attended a meeting of the Council of the European Union.,"March 25–26, 2014"
Italy,Rome,Met with President Giorgio Napolitano and Prime Minister Matteo Renzi. Toured the Colosseum.,"March 26–28, 2014"
Vatican City,,Audience with Pope Francis and a meeting with Secretary of State Cardinal Pietro Parolin.,27-Mar-14
Saudi Arabia,"Riyadh, Rawdat Khurain",Met with King Abdullah bin Abdel Aziz al-Saud.,"March 28–29, 2014"
Germany,Ramstein Air Force Base,Visited wounded U.S. military personnel.,29-Mar-14
Japan,Tokyo,Met with Prime Minister Shinzo Abe and Emperor Akihito. Toured the National Museum of Emerging Science and Innovation. Toured the Meiji Jingu Shrine.,"April 22–25, 2014"
"Korea, Republic of",Seoul,"Met with President Park Geun-hye, attended a wreath-laying ceremony at the National War Memorial, and visited U.S. military personnel.","April 25–26, 2014"
Malaysia,Kuala Lumpur,"Met with Prime Minister Najib Razak, toured the National Mosque and the Malaysian Global Innovation and Creativity Center.","April 26–28, 2014"
Philippines,"Manila, Taguig",Met with President Benigno S. Aquino 3rd. Attended a wreath-laying ceremony at the American Manila Cemetery.,"April 28–29, 2014"
Afghanistan,Bagram,Toured the Joint Operating Center and met with U.S. military personnel.,25-May-14
Germany,Ramstein Air Force Base,Stopped while returning to Washington.,26-May-14
Poland,Warsaw,Met with President Bronislaw Komorowski. Attended a Solidarity Dinner and a Freedom Day commemoration.,"June 3–4, 2014"
Belgium,Brussels,Met with King Philippe and Prime Minister Elio Di Rupo. Attended meetings of the G-7 leaders.,"June 4–5, 2014"
France,"Paris, Omaha Beach, Benouville, Ouistreham",Met with President Francois Hollande. Attended ceremonies commemorating the 70th anniversary of the Normandy landings. Discussed the Ukrainian situation with Russian President Vladimir Putin.,"June 5–6, 2014"
Estonia,Tallinn,Met with President Toomas Ilves and Prime Minister Taavi Roivas.,3-Sep-14
United Kingdom (Wales),"Newport, Cardiff",Attended a NATO Summit Meeting. Also visited Stonehenge.,"September 3–5, 2014"
"China, People’s Republic of",Beijing,Attended the Asia Pacific Economic Cooperation CEO Summit Meeting and the Trans Pacific Partnership Leaders Meeting.,"November 10–12, 2014"
Burma,"Nay Pyi Taw, Rangoon",Attended a United States-Association of Southeast Asian Naations Summit Meeting.,"November 12–14, 2014"
Australia,Brisbane,Attended a G-20 Summit Meeting.,"November 15–16, 2014"
Germany,Ramstein Air Force Base,Stopped en route to India.,24-Jan-15
India,New Delhi,Met with President Pranab Mukherjee and Prime Minister Narendra Modi.,"January 24–27, 2015"
Saudi Arabia,Riyadh,Met with King Salman bin Abdel Aziz al-Saud and senior officials.,27-Jan-15
Germany,Ramstein Air Force Base,Stopped while returning to Washington.,27-Jan-15
Jamaica,Kingston,Attended a CARICOM meeting.,"April 8–9, 2015"
Panama,Panama City,Attended a Summit of the Americas meeting.,"April 9–11, 2015"
Germany,"Munich, Krun, Elmau",Attended the G-7 Summit Meeting.,"June 7–8, 2015"
Germany,Ramstein Air Force Base,"Stopped en route to Nairobi, Kenya.",24-Jul-15
Kenya,Nairobi,Attended Global Entrepreneurship Summit and met with President Uhuru Kenyatta. Attended a State dinner.,"July 24–26, 2015"
Ethiopia,Addis Ababa,Attended a meeting on South Sudan and Counterterrorism Issues and met with Prime Minister Hailemariam Desalegn (State dinner). Addressed the African Union.,"July 26–28, 2015"
Germany,Ramstein Air Force Base,"Stopped en route from Addis Ababa, Ethiopia.",28-Jul-15
Turkey,Antalya,Attended the G-20 Economic Summit.,"November 15–16, 2015"
Philippines,Manila,"Attended the Trans-Pacific Partnership, Pacific Alliance, and APEC Summit Meetings.","November 17–20, 2015"
Malaysia,Kuala Lumpur,Attended ASEAN Summit Meeting.,"November 20–22, 2015"
France,Paris,Attended the UN Climate Change Conference.,"November 30–December 1, 2015"
Cuba,Havana,Met with President Raul Castro.,"March 20–22, 2016"
Argentina,"Buenos Aires, San Carlos de Bariloche",Met with President Mauricio Macri. Toured Llao Llao Park.,"March 23–24, 2016"
Germany,Ramstein Air Force Base,Stopped en route to Saudi Arabia.,19-Apr-16
Saudi Arabia,Riyadh,Met with King Salman bin Abd-al Aziz Al Saud and attended the U.S.-Gulf Cooperation Council Summit.,"April 20–21, 2016"
United Kingdom,London,Met with Queen Elizabeth II and Prime Minister David W. D. Cameron.,"April 21–24, 2016"
Germany,Hannover,"Met with Chancellor Angela Merkel, French President Francois Hollande, Italian Prime Minister Matteo Renzi, and British Prime Minister David W. D. Cameron.","April 24–25, 2016"
Japan,Yokota Air Force Base,Stopped en route to Vietnam.,22-May-16
Vietnam,"Hanoi, Ho Chi Minh City",Met with President Tran Dai Quang and Prime Minister Nguyen Xuan Phuc.,"May 23–25, 2016"
Japan,"Shima City, Ise, Iwakuni, Hiroshima",Attended the G-7 Economic Summit. Attended ceremonies at the Hiroshima Peace Memorial Park.?.,"May 25–29, 2016"
Canada,Ottawa,Attended the North American Leaders Summit.,29-Jun-16
Poland,Warsaw,Attended a NATO Summit Meeting and a NATO leaders’ meeting on Afghanistan.,"July 7–9, 2016"
Spain,"Madrid, Torrejon Air Base, Rota",Met with Spanish political leaders at Torrejon Air Base and visited Naval Station Rota.,"July 9–10, 2016"
"China, People’s Republic of",Hangzhou,Attended the G-20 Summit Meeting.,"September 3–5, 2016"
Laos,"Vientiane, Luang Prabang",Met with President Bounnyang Vorachit and attended an East Asia Summit Meeting.,"September 5–9, 2016"
Japan,Yokota Air Force Base,Stopped while returning to the United States.,9-Sep-16
Israel,Jerusalem,Attended the state funeral of former President Shimon Peres.,30-Sep-16
Greece,Athens,Met with President Prokopios Pavlopoulis and Prime Minister Alexios Tsipras.,"November 15–16, 2016"
Germany,Berlin,"Met with Chancellor Angela Merkel, French President Francois Hollande, Spanish Prime Minister Mariano Rajoy, Italian Prime Minister Matteo Renzi, and British Prime Minister Theresa May.","November 16–18, 2016"
Peru,Lima,Met with President Pedro Pablo Kuczynski and attended Trans-Pacific Partnership and APEC Summit Meetings.,"November 18–20, 2016"
Saudi Arabia,Riyadh,Met with King Salman bin Abdel Aziz Al-Saud. Signed military sales agreement. Met with leaders of the Gulf Cooperation Council.,"May 20–22, 2017"
Israel,Jerusalem,Met with President Reuven Rivlin and Prime Minister Benjamin Netanyahu. Visited the Western Wall and Yad Vashem.,"May 22–23, 2017"
Palestinian Authority,Bethlehem,Met with President Mahmoud Abbas.,23-May-17
Italy,Rome,Met with President Sergio Mattarella and Prime Minister Paolo Gentiloni.,"May 23–24, 2017"
Vatican City,,Met with Pope Francis and Secretary of State Cardinal Pietro Parolin.,24-May-17
Belgium,Brussels,Attended a NATO Summit Meeting.,"May 24–25, 2017"
Italy,"Taormina, Sigonella",Attended the G–7 Summit Meeting. Stopped at NAS Sigonella while returning to the United States.,"May 25–27, 2017"
Poland,Warsaw,"Met with President Andrzej Duda, delivered a public address, and addressed the Three Seas Summit.","July 5–6, 2017"
Germany,Hamburg,Attended the G–20 Summit.,"July 6–8, 2017"
France,Paris,Official visit. Met with President Emmanuel Macron. Commemorated Bastille Day and the entry of the United States into World War I.,"July 13–14, 2017"
Japan,"Kawagoe, Tokyo",Met with Prime Minister Shinz? Abe and Emperor Akihito.,"November 5–7, 2017"
"Korea, Republic of","Osan, Seoul",Met with President Moon Jae-in. Visited U.S. Military personnel at Garrisons Humphreys and Yongsan.,"November 7–8, 2017"
"China, People’s Republic of",Beijing,Met with President Xi Jinping. State Dinner.,"November 8–10, 2017"
Vietnam,"Danang, Hanoi",Attended the APEC Economic Leaders Meeting. Met with President Tran Dai Quang.,"November 10–12, 2017"
Philippines,Manila,Met with President Rodrigo Duterte and attended the 31st ASEAN Summit Meeting.,"November 12–14, 2017"
Switzerland,Davos,Attended the 2018 World Economic Forum.,"January 24–26, 2018"
Canada,Charlevoix,Attended the G–7 meetings.,9-Jun-18
Singapore,Singapore,Participated in the summit with North Korean leader Kim Jong-un and bilateral events with Singaporean Prime Minister Lee Hsien Loong.,"June 10–13, 2018"
Belgium,Brussels,Attended NATO Summit Meeting.,"July 10–12, 2018"
United Kingdom,London,Met with Queen Elizabeth II and Prime Minister Theresa May.,"July 12–13, 2018"
Finland,Helsinki,Bilateral meeting with Russian President Vladimir Putin.,16-Jul-18
France,Paris,Commemorated the 100th anniversary of the end of the WWI and met with French President Emmanuel Macron.,"November 10–11, 2018"
Argentina,Buenos Aires,Participated in the G–20 Leaders’ Summit.,"November 29–December 1, 2018"
Vietnam,Hanoi,Attended the second North Korea-U.S. summit.,"February 27–28, 2019"
Japan,Tokyo,State Visit following the enthronement of Emperor Naruhito.,"May 25–28, 2019"
United Kingdom,London,State Visit.,"June 3–5, 2019"
France,"Colleville-sur-Mer, Caen",Attended remembrance ceremony on the 75th Anniversary of D-Day.,6-Jun-19
Japan,Osaka,Participated in the G–20 Leaders’ Summit.,"June 28–30, 2019"
"Korea, South",Seoul,"Met with President Moon Jae-in, and crossed briefly into North Korean territory where he was photographed with and spoke to Chairman Kim Jong-un.",30-Jun-19
France,Biarritz,Attended the G–7 Summit Meeting.,"August 24–26, 2019"
Afghanistan,Bagram,Visited U.S. troops at Bagram Airfield.,28-Nov-19
United Kingdom,London,Led U.S. delegation to attend the NATO Leaders Meeting.,"December 3–4, 2019"
Switzerland,Davos,Attended the 2020 World Economic Forum.,"January 21–22, 2020"
India,New Delhi,Met with Prime Minister Narendra Modi.,"February 24–25, 2020"
United Kingdom,"London, Cornwall",Met with Prime Minister Boris Johnson and Queen Elizabeth II. Attended the G7 Summit.,"June 9–13, 2021"
Belgium,Brussels,Met with King Philippe and Prime Minister Alexander De Croo. Attended the NATO Summit.,"June 13–15, 2021"
Switzerland,Geneva,Met with President Guy Parmelin and Foreign Minister Ignazio Cassis. Attended a summit meeting with Russian President Vladimir Putin.,"June 15–16, 2021"
Vatican City,,Met with Pope Francis.,29-Oct-21
Italy,Rome,"Attended the G20 Leader's Summit. Met with Prime Minister Mario Draghi, President Emmanuel Macron, Chancellor Angela Merkel, and Prime Minister Boris Johnson.","October 29–November 1, 2021"
United Kingdom,Glasgow,Attended the United Nations Climate Change Conference.,"November 1–2, 2021"
United Kingdom,Glasgow,"Attended World Leader Summit at the start of the COP26, the 26th Conference of the Parties to the U.N. Framework Convention on Climate Change.","November 1–2, 2021"
Belgium,Brussels,Attended the NATO Extraordinary Summit.,"March 24–25, 2022"
Poland,"Rzeszow, Warsaw",Met with President Andrzej Duda.,"March 25–26, 2022"
"Korea, South",Seoul,Met with President Yoon Suk Yeol.,"May 19–21, 2022"
Japan,Tokyo,Met with Japanese Prime Minister Kishida Fumio and attended the Quad Leaders’ Summit.,"May 21–24, 2022"
Germany,Schloss Elmau,Attended the G7 Leaders’ Summit.,"June 25–28, 2022"
Spain,Madrid,Met with Prime Minister Pedro Sánchez Perez-Castejon and participated in the Madrid NATO Summit.,"June 28–30, 2022"
Israel,Jerusalem,Consulted with regional partners.,"July 13–15, 2022"
West Bank,Ramallah,Consulted with regional partners.,15-Jul-22
Saudi Arabia,Jeddah,Met with King Salman bin Abd al-Aziz Al Saud and Crown Prince Muhammad bin Salman bin Abd al-Aziz Al Saud. Attended Summit of the Gulf Cooperation Council.,"July 15–16, 2022"
Egypt,Sharm el-Sheikh,Attended the 2022 United Nations Climate Change Conference.,11-Nov-22
Cambodia,Phnom Penh,Participated in the U.S.-ASEAN and East Asia Summits.,"November 12–13, 2022"
Indonesia,Bali,Participated in the G20 Leaders’ Summit.,"November 13–16, 2022"
Mexico,Mexico City,Attended the North American Leaders' Summit.,"January 8–10, 2023"
Ukraine,Kyiv,Met with President Zelensky to mark the one-year anniversary of Russia’s invasion of Ukraine.,20-Feb-23
Poland,Warsaw,Met with President Andrzej Duda and attended summit with leaders of the Bucharest Nine Eastern Flank NATO Allies and NATO Secretary General Jens Stoltenberg.,"February 21–22, 2023"
United Kingdom,Belfast,Commemorated the 25th Anniversary of the Belfast/Good Friday Agreement.,"April 11–12, 2023"
Ireland,Dublin,Met with Prime Minister Leo Varadkar and President Michael D. Higgins.,"April 12–14, 2023"
Japan,Hiroshima,Attended the G7 Summit and participated in other bilateral and multilateral meetings.,"May 18–21, 2023"
United Kingdom,London,Met with Prime Minister Rishi Sunak and King Charles III.,"July 9–10, 2023"
Lithuania,Vilnius,Attended NATO Summit.,"July 11–12, 2023"
Finland,Helsinki,"Met with the President of Finland and the Prime Ministers of Denmark, Iceland, Norway, and Sweden for the third U.S.-Nordic Leaders’ Summit",13-Jul-23
India,New Delhi,Met with Prime Minister Narendra Modi and attended the G20 Leaders' Summit.,"September 7–10, 2023"
Vietnam,Hanoi,Met with President Vo Van Thuong and Prime Minister Pham Minh Chinh.,"September 10–11, 2023"
Israel,Tel Aviv,Met with Prime Minister Benjamin Netanyahu.,18-Oct-23
